,,,,Player 1,,Player 2,,Player 3,,Player 4,
Date,Town,Han,Table,ID,Result,ID,Result,ID,Result,ID,Result
2022-06-08,Łódź,1,1,PLPZ008,-10000,PLXX029,5100,PLLD004,-21200,PLRZ002,26100
2022-06-08,Łódź,1,2,PLKA002,-500,PLXX014,30100,PLKA004,16100,PLGS004,-45700
2022-06-08,Łódź,1,3,GBXX007,-28800,PLXX019,-2500,PLXX022,44100,PLXX026,-30000
2022-06-08,Łódź,1,4,PLXX008,31200,PLLD002,-9300,PLGS001,-38600,PLXX030,16700
2022-06-08,Łódź,1,5,PLPZ004,4900,PLXX017,-6200,PLRZ001,31000,PLLD005,-29700
2022-06-08,Łódź,2,1,PLXX008,-7600,PLXX014,3800,PLXX026,22200,PLLD004,-18400
2022-06-08,Łódź,2,2,PLKA002,27900,PLXX017,-23800,PLXX022,8900,PLPZ008,-13000
2022-06-08,Łódź,2,3,GBXX007,12200,PLLD005,23700,PLXX030,-23700,PLRZ002,-12200
2022-06-08,Łódź,2,4,PLLD002,11300,PLXX019,21500,PLRZ001,-21700,PLKA004,-11100
2022-06-08,Łódź,2,5,PLPZ004,-39200,PLGS001,33100,PLGS004,13200,PLXX029,-7100
2022-06-08,Łódź,3,1,PLXX008,-20600,GBXX007,-10300,PLKA004,1500,PLXX029,29400
2022-06-08,Łódź,3,2,PLKA002,-11400,PLGS001,11600,PLXX026,33100,PLLD005,-33300
2022-06-08,Łódź,3,3,PLLD002,18600,PLPZ004,-7600,PLXX014,10200,PLPZ008,-41200
2022-06-08,Łódź,3,4,PLXX017,-37400,PLXX019,-9100,PLXX030,3100,PLLD004,43400
2022-06-08,Łódź,3,5,PLXX022,35000,PLRZ001,-200,PLGS004,10600,PLRZ002,-45400
2022-06-08,Łódź,4,1,PLGS001,38200,GBXX007,39000,PLRZ001,-6300,PLPZ008,7100
2022-06-08,Łódź,4,2,PLLD002,19200,PLLD005,-17100,PLGS004,-32600,PLLD004,30500
2022-06-08,Łódź,4,3,PLXX017,-25400,PLKA004,26300,PLXX026,-6100,PLRZ002,5200
2022-06-08,Łódź,4,4,PLXX014,-5100,PLXX022,7800,PLXX029,-23900,PLXX030,1200
2022-06-08,Łódź,4,5,PLKA002,7700,PLXX008,-9000,PLPZ004,-27400,PLXX019,28700
2022-06-08,Łódź,5,1,PLRZ001,-20400,PLXX026,55400,PLXX029,16900,PLXX030,-51900
2022-06-08,Łódź,5,2,PLXX008,-32300,PLLD005,-5900,PLGS004,24500,PLPZ008,13700
2022-06-08,Łódź,5,3,PLKA002,-32400,PLLD002,-7600,GBXX007,27300,PLXX017,12700
